[2018-11-25 19:01:47,183] INFO Updated PartitionLeaderEpoch. New: {epoch:0, offset:0}, Current: {epoch:-1, offset:-1} for Partition: post_login-0. Cache now contains 0 entries. (kafka.server.epoch.LeaderEpochFileCache)
[2018-11-25 19:01:47,585] INFO Updated PartitionLeaderEpoch. New: {epoch:0, offset:0}, Current: {epoch:-1, offset:-1} for Partition: get_home-0. Cache now contains 0 entries. (kafka.server.epoch.LeaderEpochFileCache)
[2018-11-25 19:01:56,031] INFO Updated PartitionLeaderEpoch. New: {epoch:0, offset:0}, Current: {epoch:-1, offset:-1} for Partition: get_searchresults-0. Cache now contains 0 entries. (kafka.server.epoch.LeaderEpochFileCache)
[2018-11-25 19:08:30,474] INFO [GroupMetadataManager brokerId=0] Removed 0 expired offsets in 0 milliseconds. (kafka.coordinator.group.GroupMetadataManager)
[2018-11-25 19:11:19,790] INFO [Transaction Marker Channel Manager 0]: Shutting down (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2018-11-25 19:11:19,790] INFO [Transaction Marker Channel Manager 0]: Stopped (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2018-11-25 19:11:19,790] INFO [Transaction Marker Channel Manager 0]: Shutdown completed (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2018-11-25 19:11:19,791] INFO [TransactionCoordinator id=0] Shutdown complete. (kafka.coordinator.transaction.TransactionCoordinator)
[2018-11-25 19:11:19,791] INFO [GroupCoordinator 0]: Shutting down. (kafka.coordinator.group.GroupCoordinator)
[2018-11-25 19:11:19,791] INFO [ExpirationReaper-0-Heartbeat]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:19,989] INFO [ExpirationReaper-0-Heartbeat]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:19,989] INFO [ExpirationReaper-0-Heartbeat]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:19,990] INFO [ExpirationReaper-0-Rebalance]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,192] INFO [ExpirationReaper-0-Rebalance]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,192] INFO [ExpirationReaper-0-Rebalance]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,193] INFO [GroupCoordinator 0]: Shutdown complete. (kafka.coordinator.group.GroupCoordinator)
[2018-11-25 19:11:20,194] INFO [ReplicaManager broker=0] Shutting down (kafka.server.ReplicaManager)
[2018-11-25 19:11:20,194] INFO [LogDirFailureHandler]: Shutting down (kafka.server.ReplicaManager$LogDirFailureHandler)
[2018-11-25 19:11:20,194] INFO [LogDirFailureHandler]: Shutdown completed (kafka.server.ReplicaManager$LogDirFailureHandler)
[2018-11-25 19:11:20,194] INFO [LogDirFailureHandler]: Stopped (kafka.server.ReplicaManager$LogDirFailureHandler)
[2018-11-25 19:11:20,194] INFO [ReplicaFetcherManager on broker 0] shutting down (kafka.server.ReplicaFetcherManager)
[2018-11-25 19:11:20,196] INFO [ReplicaFetcherManager on broker 0] shutdown completed (kafka.server.ReplicaFetcherManager)
[2018-11-25 19:11:20,196] INFO [ReplicaAlterLogDirsManager on broker 0] shutting down (kafka.server.ReplicaAlterLogDirsManager)
[2018-11-25 19:11:20,196] INFO [ReplicaAlterLogDirsManager on broker 0] shutdown completed (kafka.server.ReplicaAlterLogDirsManager)
[2018-11-25 19:11:20,196] INFO [ExpirationReaper-0-Fetch]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,299] INFO [ExpirationReaper-0-Fetch]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,299] INFO [ExpirationReaper-0-Fetch]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,299] INFO [ExpirationReaper-0-Produce]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,392] INFO [ExpirationReaper-0-Produce]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,392] INFO [ExpirationReaper-0-Produce]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,392] INFO [ExpirationReaper-0-DeleteRecords]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,593] INFO [ExpirationReaper-0-DeleteRecords]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,593] INFO [ExpirationReaper-0-DeleteRecords]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:20,596] INFO [ReplicaManager broker=0] Shut down completely (kafka.server.ReplicaManager)
[2018-11-25 19:11:20,597] INFO Shutting down. (kafka.log.LogManager)
[2018-11-25 19:11:20,608] INFO [ProducerStateManager partition=get_searchresults-0] Writing producer snapshot at offset 7 (kafka.log.ProducerStateManager)
[2018-11-25 19:11:20,610] INFO [ProducerStateManager partition=post_login-0] Writing producer snapshot at offset 2 (kafka.log.ProducerStateManager)
[2018-11-25 19:11:20,611] INFO [ProducerStateManager partition=get_home-0] Writing producer snapshot at offset 10 (kafka.log.ProducerStateManager)
[2018-11-25 19:11:20,613] INFO [ProducerStateManager partition=response_topic-0] Writing producer snapshot at offset 45 (kafka.log.ProducerStateManager)
[2018-11-25 19:11:20,614] INFO [ProducerStateManager partition=post_lyp-0] Writing producer snapshot at offset 21 (kafka.log.ProducerStateManager)
[2018-11-25 19:11:20,621] INFO Shutdown complete. (kafka.log.LogManager)
[2018-11-25 19:11:20,626] INFO [ZooKeeperClient] Closing. (kafka.zookeeper.ZooKeeperClient)
[2018-11-25 19:11:20,627] INFO Session: 0x1674df420440000 closed (org.apache.zookeeper.ZooKeeper)
[2018-11-25 19:11:20,628] INFO [ZooKeeperClient] Closed. (kafka.zookeeper.ZooKeeperClient)
[2018-11-25 19:11:20,628] INFO [ThrottledRequestReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-11-25 19:11:20,629] INFO EventThread shut down for session: 0x1674df420440000 (org.apache.zookeeper.ClientCnxn)
[2018-11-25 19:11:20,797] INFO [ThrottledRequestReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-11-25 19:11:20,797] INFO [ThrottledRequestReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-11-25 19:11:20,797] INFO [ThrottledRequestReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-11-25 19:11:21,697] INFO [ThrottledRequestReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-11-25 19:11:21,697] INFO [ThrottledRequestReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-11-25 19:11:21,698] INFO [ThrottledRequestReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-11-25 19:11:22,702] INFO [ThrottledRequestReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-11-25 19:11:22,702] INFO [ThrottledRequestReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-11-25 19:11:22,703] INFO [SocketServer brokerId=0] Shutting down socket server (kafka.network.SocketServer)
[2018-11-25 19:11:22,719] INFO [SocketServer brokerId=0] Shutdown completed (kafka.network.SocketServer)
[2018-11-25 19:11:22,723] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
